image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,337,283,376,338,0,0.27190399169921875,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,0,289,33,348,0,0.36127978563308716,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,444,263,597,462,0,0.5602504014968872,1024,768
2b930250623e3c86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b930250623e3c86.jpg,796,418,950,554,0,0.3377794325351715,1024,1024
2b930250623e3c86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b930250623e3c86.jpg,281,253,749,754,0,0.7077817916870117,1024,1024
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,629,260,657,293,0,0.35558587312698364,1024,682
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,286,219,310,250,0,0.7061178684234619,1024,682
2b9b05cb2195e0aa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9b05cb2195e0aa.jpg,959,317,1022,381,0,0.2933971583843231,1024,768
2b9b05cb2195e0aa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9b05cb2195e0aa.jpg,611,225,745,405,0,0.5432121157646179,1024,768
2b9ccdcfdcb6ff40.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9ccdcfdcb6ff40.jpg,109,233,538,654,0,0.9519639015197754,679,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,146,20,316,252,0,0.6421340703964233,686,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,356,48,534,294,0,0.7302761673927307,686,1024
2ba03e5e7f66ad45.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba03e5e7f66ad45.jpg,210,119,370,286,0,0.4052186906337738,1024,768
2ba03e5e7f66ad45.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba03e5e7f66ad45.jpg,216,454,345,588,0,0.7905339598655701,1024,768
2ba4877aa889e43c.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba4877aa889e43c.jpg,482,258,557,381,0,0.30554190278053284,1024,768
2ba4cedf86cfa8ca.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba4cedf86cfa8ca.jpg,179,199,410,447,0,0.502446711063385,683,1024
2ba5df35740b4890.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba5df35740b4890.jpg,473,0,762,271,0,0.4068063795566559,1024,683
2ba5df35740b4890.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba5df35740b4890.jpg,166,21,412,325,0,0.6384690403938293,1024,683
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,412,312,487,412,0,0.3358020484447479,768,1024
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,506,314,555,388,0,0.34747838973999023,768,1024
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,569,366,625,443,0,0.5658249855041504,768,1024
2babf1006ff7f450.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2babf1006ff7f450.jpg,637,87,721,205,0,0.6198298931121826,768,1024
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,982,344,1012,377,0,0.324118435382843,1024,765
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,782,348,841,403,0,0.4745791554450989,1024,765
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,573,347,616,399,0,0.5102944374084473,1024,765
