image,image_path,xmin,ymin,xmax,ymax,label,confidence,x_size,y_size
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,598,261,671,339,0,0.261679470539093,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,0,287,33,351,0,0.2807857394218445,1024,768
2b8f6d6d9c1bfe38.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b8f6d6d9c1bfe38.jpg,452,264,600,462,0,0.4175387918949127,1024,768
2b930250623e3c86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b930250623e3c86.jpg,261,238,750,794,0,0.8693227767944336,1024,1024
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,630,260,656,288,0,0.3679080009460449,1024,682
2b95c8153c8ffd15.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b95c8153c8ffd15.jpg,288,217,310,251,0,0.7980561852455139,1024,682
2b9b05cb2195e0aa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9b05cb2195e0aa.jpg,610,227,745,396,0,0.6059345602989197,1024,768
2b9ccdcfdcb6ff40.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2b9ccdcfdcb6ff40.jpg,98,246,547,651,0,0.8875635862350464,679,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,151,19,317,252,0,0.5498168468475342,686,1024
2ba00b4217400b86.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba00b4217400b86.jpg,357,53,539,292,0,0.5932139158248901,686,1024
2ba03e5e7f66ad45.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba03e5e7f66ad45.jpg,209,129,366,264,0,0.4318588674068451,1024,768
2ba03e5e7f66ad45.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba03e5e7f66ad45.jpg,216,457,344,577,0,0.6966320276260376,1024,768
2ba4cb2281af9064.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba4cb2281af9064.jpg,644,480,789,627,0,0.26446810364723206,1024,768
2ba4cedf86cfa8ca.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba4cedf86cfa8ca.jpg,201,197,410,449,0,0.6752012372016907,683,1024
2ba5df35740b4890.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba5df35740b4890.jpg,473,9,766,253,0,0.37736329436302185,1024,683
2ba5df35740b4890.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba5df35740b4890.jpg,169,14,409,337,0,0.7749866843223572,1024,683
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,506,314,555,388,0,0.4033561944961548,768,1024
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,645,362,701,437,0,0.42614638805389404,768,1024
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,173,303,228,382,0,0.4396272301673889,768,1024
2ba90ef9e815b512.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2ba90ef9e815b512.jpg,570,364,623,444,0,0.6342503428459167,768,1024
2babf1006ff7f450.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2babf1006ff7f450.jpg,637,85,719,198,0,0.4224056303501129,768,1024
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,984,347,1012,382,0,0.3931180536746979,1024,765
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,574,349,615,399,0,0.4366580843925476,1024,765
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,783,345,841,401,0,0.4864109754562378,1024,765
2baf78a6f25a5db6.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2baf78a6f25a5db6.jpg,36,207,212,451,0,0.5084541440010071,1024,765
2bb22488f7f3e994.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bb22488f7f3e994.jpg,580,62,936,474,0,0.9221269488334656,1024,803
2bbaa79e4cd25142.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bbaa79e4cd25142.jpg,450,180,665,433,0,0.33876219391822815,1024,768
2bbaa79e4cd25142.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bbaa79e4cd25142.jpg,0,48,291,562,0,0.4733932614326477,1024,768
2bbc3cfe7e0d6688.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bbc3cfe7e0d6688.jpg,5,48,162,271,0,0.3580373227596283,1024,683
2bbc3cfe7e0d6688.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bbc3cfe7e0d6688.jpg,523,169,671,319,0,0.4902840852737427,1024,683
2bbd0f471297a5fa.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bbd0f471297a5fa.jpg,330,12,567,256,0,0.678033709526062,1024,683
2bc2766a3baebb74.jpg,/home/lukas/tmp/head_detection/Data/Source_Images/Test_Images/2bc2766a3baebb74.jpg,460,131,623,298,0,0.5391122698783875,1024,681
